scenario,seed,timestamp,node_id,parent,rank,trust,energy,qos_latency,mcs,hop_count,convergence_time,packet_loss_rate
mixed_attack_energy,0,1.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
mixed_attack_energy,0,1.0,2,1,0.52,0.5106,0.9727,0.42,0.58,1,0.0,0.008
mixed_attack_energy,0,1.0,3,4,0.5346,0.4982,0.9757,0.4346,0.5654,1,0.0,0.008
mixed_attack_energy,0,1.0,4,5,0.5318,0.5012,0.9779,0.4318,0.5682,1,0.0,0.008
mixed_attack_energy,0,1.0,5,6,0.5655,0.4652,0.977,0.4655,0.5345,1,0.0,0.008
mixed_attack_energy,0,1.0,6,12,0.5467,0.4853,0.9795,0.4467,0.5533,1,0.0,0.008
mixed_attack_energy,0,1.0,7,1,0.5178,0.513,0.9739,0.4178,0.5822,1,0.0,0.008
mixed_attack_energy,0,1.0,8,1,0.5899,0.4544,0.9744,0.4899,0.5101,1,0.0,0.008
mixed_attack_energy,0,1.0,9,10,0.5295,0.5037,0.9766,0.4295,0.5705,1,0.0,0.008
mixed_attack_energy,0,1.0,10,11,0.5291,0.5041,0.9744,0.4291,0.5709,1,0.0,0.008
mixed_attack_energy,0,1.0,11,17,0.5288,0.5044,0.974,0.4288,0.5712,1,0.0,0.008
mixed_attack_energy,0,1.0,12,18,0.5454,0.4867,0.9806,0.4454,0.5546,1,0.0,0.008
mixed_attack_energy,0,1.0,13,14,0.54,0.4925,0.9822,0.44,0.56,1,0.0,0.008
mixed_attack_energy,0,1.0,14,15,0.5141,0.5201,0.9823,0.4141,0.5859,1,0.0,0.008
mixed_attack_energy,0,1.0,15,16,0.5373,0.4953,0.9771,0.4373,0.5627,1,0.0,0.008
mixed_attack_energy,0,1.0,16,17,0.5295,0.5037,0.9783,0.4295,0.5705,1,0.0,0.008
mixed_attack_energy,0,1.0,17,18,0.5498,0.482,0.9815,0.4498,0.5502,1,0.0,0.008
mixed_attack_energy,0,1.0,18,24,0.5334,0.4995,0.982,0.4334,0.5666,1,0.0,0.008
mixed_attack_energy,0,1.0,19,20,0.5438,0.4883,0.9752,0.4438,0.5562,1,0.0,0.008
mixed_attack_energy,0,1.0,20,21,0.5274,0.5059,0.9795,0.4274,0.5726,1,0.0,0.008
mixed_attack_energy,0,1.0,21,27,0.5196,0.5143,0.9726,0.4196,0.5804,1,0.0,0.008
mixed_attack_energy,0,1.0,22,23,0.5599,0.4712,0.9823,0.4599,0.5401,1,0.0,0.008
mixed_attack_energy,0,1.0,23,24,0.5346,0.4982,0.9733,0.4346,0.5654,1,0.0,0.008
mixed_attack_energy,0,1.0,24,30,0.5286,0.5047,0.9769,0.4286,0.5714,1,0.0,0.008
mixed_attack_energy,0,1.0,25,26,0.5338,0.4991,0.9791,0.4338,0.5662,1,0.0,0.008
mixed_attack_energy,0,1.0,26,27,0.5314,0.5017,0.9752,0.4314,0.5686,1,0.0,0.008
mixed_attack_energy,0,1.0,27,28,0.537,0.4957,0.9773,0.437,0.563,1,0.0,0.008
mixed_attack_energy,0,1.0,28,29,0.5543,0.4772,0.9744,0.4543,0.5457,1,0.0,0.008
mixed_attack_energy,0,1.0,29,30,0.5543,0.4771,0.9818,0.4543,0.5457,1,0.0,0.008
mixed_attack_energy,0,1.0,30,36,0.5435,0.4887,0.9819,0.4435,0.5565,1,0.0,0.008
mixed_attack_energy,0,1.0,31,32,0.529,0.5042,0.9813,0.429,0.571,1,0.0,0.008
mixed_attack_energy,0,1.0,32,33,0.5367,0.4959,0.9755,0.4367,0.5633,1,0.0,0.008
mixed_attack_energy,0,1.0,33,34,0.5482,0.4837,0.9772,0.4482,0.5518,1,0.0,0.008
mixed_attack_energy,0,1.0,34,28,0.6277,0.5243,0.9733,0.4277,0.5723,2,0.0,0.008
mixed_attack_energy,0,1.0,35,36,0.5486,0.4832,0.9782,0.4486,0.5514,1,0.0,0.008
mixed_attack_energy,0,1.0,36,30,0.6388,0.5103,0.9814,0.4388,0.5612,2,0.0,0.008
