scenario,seed,timestamp,node_id,parent,rank,trust,energy,qos_latency,mcs,hop_count,convergence_time,packet_loss_rate
qos_sensitive,0,1.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
qos_sensitive,0,1.0,2,1,0.3946,0.5008,0.9897,0.3026,0.7054,1,0.0,0.003
qos_sensitive,0,1.0,3,4,0.4011,0.4916,0.9875,0.2721,0.6989,1,0.0,0.003
qos_sensitive,0,1.0,4,7,0.4592,0.4223,0.9851,0.3592,0.6408,1,0.0,0.003
qos_sensitive,0,1.0,5,1,0.4103,0.4787,0.9881,0.2291,0.6897,1,0.0,0.003
qos_sensitive,0,1.0,6,7,0.3763,0.5265,0.9937,0.3883,0.7237,1,0.0,0.003
qos_sensitive,0,1.0,7,8,0.4038,0.4878,0.9882,0.2595,0.6962,1,0.0,0.003
qos_sensitive,0,1.0,8,12,0.4081,0.4818,0.992,0.2394,0.6919,1,0.0,0.003
qos_sensitive,0,1.0,9,10,0.4039,0.4877,0.9856,0.2591,0.6961,1,0.0,0.003
qos_sensitive,0,1.0,10,11,0.3916,0.5049,0.9943,0.3164,0.7084,1,0.0,0.003
qos_sensitive,0,1.0,11,12,0.4157,0.4712,0.9927,0.2039,0.6843,1,0.0,0.003
qos_sensitive,0,1.0,12,16,0.3898,0.5075,0.9944,0.3251,0.7102,1,0.0,0.003
qos_sensitive,0,1.0,13,14,0.3856,0.5134,0.9864,0.3448,0.7144,1,0.0,0.003
qos_sensitive,0,1.0,14,15,0.4046,0.4867,0.993,0.2557,0.6954,1,0.0,0.003
qos_sensitive,0,1.0,15,16,0.4021,0.4903,0.9946,0.2676,0.6979,1,0.0,0.003
qos_sensitive,0,1.0,16,12,0.5058,0.5039,0.9919,0.2631,0.6942,2,0.0,0.003
qos_sensitive,0,11.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
qos_sensitive,0,11.0,2,1,0.3946,0.5224,0.9011,0.3026,0.7054,1,0.0,0.0206
qos_sensitive,0,11.0,3,4,0.4011,0.5336,0.8977,0.2721,0.6989,1,0.0,0.0206
qos_sensitive,0,11.0,4,7,0.4592,0.2947,0.8674,0.3592,0.6408,1,0.0,0.0206
qos_sensitive,0,11.0,5,1,0.4103,0.5186,0.8867,0.2291,0.6897,1,0.0,0.0206
qos_sensitive,0,11.0,6,7,0.3763,0.5017,0.8977,0.3883,0.7237,1,0.0,0.0206
qos_sensitive,0,11.0,7,8,0.4038,0.4831,0.887,0.2595,0.6962,1,0.0,0.0206
qos_sensitive,0,11.0,8,12,0.4081,0.4965,0.8788,0.2394,0.6919,1,0.0,0.0206
qos_sensitive,0,11.0,9,10,0.4039,0.4913,0.8963,0.2591,0.6961,1,0.0,0.0206
qos_sensitive,0,11.0,10,11,0.3916,0.4791,0.8892,0.3164,0.7084,1,0.0,0.0206
qos_sensitive,0,11.0,11,12,0.4157,0.4889,0.8803,0.2039,0.6843,1,0.0,0.0206
qos_sensitive,0,11.0,12,16,0.3898,0.4667,0.8704,0.3251,0.7102,1,0.0,0.0206
qos_sensitive,0,11.0,13,14,0.3856,0.4993,0.8641,0.3448,0.7144,1,0.0,0.0206
qos_sensitive,0,11.0,14,15,0.4046,0.4873,0.8975,0.2557,0.6954,1,0.0,0.0206
qos_sensitive,0,11.0,15,16,0.4021,0.5202,0.9001,0.2676,0.6979,1,0.0,0.0206
qos_sensitive,0,11.0,16,12,0.5058,0.469,0.885,0.2631,0.6942,2,0.0,0.0206
qos_sensitive,0,21.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
qos_sensitive,0,21.0,2,1,0.3946,0.4949,0.8057,0.3026,0.7054,1,0.0,0.0267
qos_sensitive,0,21.0,3,4,0.4011,0.4681,0.7909,0.2721,0.6989,1,0.0,0.0267
qos_sensitive,0,21.0,4,7,0.4592,0.2897,0.7654,0.3592,0.6408,1,0.0,0.0267
qos_sensitive,0,21.0,5,1,0.4103,0.5166,0.7742,0.2291,0.6897,1,0.0,0.0267
qos_sensitive,0,21.0,6,7,0.3763,0.5185,0.8083,0.3883,0.7237,1,0.0,0.0267
