scenario,metric,mean,std,min,max,q1,median
lossless_baseline,trust,0.496,0.0349,0.2705,0.5624,0.4858,0.5001
lossless_baseline,energy,0.0872,0.0289,0.0023,0.1603,0.0682,0.0858
lossless_baseline,mcs,0.6284,0.0217,0.5591,0.705,0.6161,0.626
lossless_baseline,qos_latency,0.2994,0.0595,0.0524,0.4456,0.2634,0.3
lossless_baseline,hop_count,1.0417,0.1998,1.0,2.0,1.0,1.0
lossy_network,trust,0.4235,0.0745,0.1449,0.544,0.3859,0.4403
lossy_network,energy,0.0001,0.0011,0.0,0.0147,0.0,0.0
lossy_network,mcs,0.6247,0.0246,0.545,0.7042,0.6134,0.6246
lossy_network,qos_latency,0.2937,0.0692,0.0266,0.455,0.2571,0.2972
lossy_network,hop_count,1.1062,0.3082,1.0,2.0,1.0,1.0
attack_high_threat,trust,0.4743,0.0582,0.1504,0.5624,0.4672,0.4892
attack_high_threat,energy,0.0513,0.0278,0.0,0.1239,0.0318,0.0494
attack_high_threat,mcs,0.5336,0.0215,0.452,0.6035,0.5236,0.5328
attack_high_threat,qos_latency,0.2946,0.0706,0.0203,0.4456,0.2615,0.3008
attack_high_threat,hop_count,1.0437,0.2045,1.0,2.0,1.0,1.0
energy_stress,trust,0.4925,0.0396,0.2524,0.5613,0.4823,0.4976
energy_stress,energy,0.0,0.0,0.0,0.0,0.0,0.0
energy_stress,mcs,0.6263,0.0239,0.5566,0.7113,0.6124,0.6239
energy_stress,qos_latency,0.3035,0.0608,0.0591,0.4788,0.2654,0.306
energy_stress,hop_count,1.05,0.2179,1.0,2.0,1.0,1.0
stress_large_grid,trust,0.4793,0.0444,0.2377,0.5604,0.4657,0.4889
stress_large_grid,energy,0.0556,0.0271,0.0,0.1502,0.0366,0.0557
stress_large_grid,mcs,0.6267,0.0178,0.545,0.7243,0.617,0.6267
stress_large_grid,qos_latency,0.2997,0.0568,0.0264,0.4711,0.2671,0.3033
stress_large_grid,hop_count,1.0222,0.1474,1.0,2.0,1.0,1.0
