seed,scenario,node_id,parent,rank,trust,energy,qos_latency,mcs,hop_count,convergence_time,packet_loss_rate
0,lossless,2,1,0.4125,0.4916,0.0487,0.3125,0.6875,1,0.0,0.0
0,lossless,3,4,0.4815,0.5024,0.045,0.3815,0.6185,1,0.0,0.0
0,lossless,4,5,0.488,0.4649,0.0,0.388,0.612,1,0.0,0.0
0,lossless,5,10,0.4874,0.5226,0.0,0.3874,0.6126,1,0.0,0.0
0,lossless,6,1,0.4439,0.4892,0.0,0.3439,0.6561,1,0.0,0.0
0,lossless,7,8,0.4904,0.5266,0.0,0.3904,0.6096,1,0.0,0.0
0,lossless,8,9,0.4619,0.512,0.0279,0.3619,0.6381,1,0.0,0.0
0,lossless,9,10,0.4679,0.5078,0.0,0.3679,0.6321,1,0.0,0.0
0,lossless,10,15,0.4695,0.5167,0.0,0.3695,0.6305,1,0.0,0.0
0,lossless,11,12,0.4862,0.5029,0.0363,0.3862,0.6138,1,0.0,0.0
0,lossless,12,13,0.4751,0.5101,0.0096,0.3751,0.6249,1,0.0,0.0
0,lossless,13,14,0.478,0.4719,0.0278,0.378,0.622,1,0.0,0.0
0,lossless,14,15,0.4539,0.5138,0.0032,0.3539,0.6461,1,0.0,0.0
0,lossless,15,20,0.4871,0.4819,0.0,0.3871,0.6129,1,0.0,0.0
0,lossless,16,17,0.4939,0.5466,0.0759,0.3939,0.6061,1,0.0,0.0
0,lossless,17,18,0.4726,0.5425,0.0,0.3726,0.6274,1,0.0,0.0
0,lossless,18,19,0.4846,0.5266,0.0,0.3846,0.6154,1,0.0,0.0
0,lossless,19,20,0.4593,0.4878,0.0,0.3593,0.6407,1,0.0,0.0
0,lossless,20,25,0.4681,0.4957,0.0298,0.3681,0.6319,1,0.0,0.0
0,lossless,21,22,0.4693,0.4893,0.0458,0.3693,0.6307,1,0.0,0.0
0,lossless,22,23,0.4719,0.5236,0.0005,0.3719,0.6281,1,0.0,0.0
0,lossless,23,24,0.4839,0.5212,0.0,0.3839,0.6161,1,0.0,0.0
0,lossless,24,25,0.4712,0.5156,0.0,0.3712,0.6288,1,0.0,0.0
0,lossless,25,24,0.5714,0.4802,0.0,0.3714,0.6286,2,0.0,0.0
1,lossless,2,1,0.4078,0.4848,0.0269,0.3078,0.6922,1,0.0,0.0
1,lossless,3,4,0.4943,0.52,0.0045,0.3943,0.6057,1,0.0,0.0
1,lossless,4,5,0.4676,0.4915,0.0,0.3676,0.6324,1,0.0,0.0
1,lossless,5,10,0.4887,0.4996,0.0,0.3887,0.6113,1,0.0,0.0
1,lossless,6,1,0.4123,0.5257,0.0,0.3123,0.6877,1,0.0,0.0
1,lossless,7,8,0.4873,0.4942,0.0098,0.3873,0.6127,1,0.0,0.0
1,lossless,8,9,0.4815,0.5007,0.0,0.3815,0.6185,1,0.0,0.0
1,lossless,9,10,0.4985,0.5413,0.0,0.3985,0.6015,1,0.0,0.0
1,lossless,10,15,0.487,0.5351,0.0,0.387,0.613,1,0.0,0.0
1,lossless,11,12,0.4668,0.5029,0.0016,0.3668,0.6332,1,0.0,0.0
1,lossless,12,13,0.4706,0.5087,0.0015,0.3706,0.6294,1,0.0,0.0
1,lossless,13,14,0.4893,0.5237,0.0045,0.3893,0.6107,1,0.0,0.0
1,lossless,14,15,0.4795,0.4971,0.0,0.3795,0.6205,1,0.0,0.0
1,lossless,15,19,0.5321,0.2767,0.0,0.4321,0.5679,1,0.0,0.0
1,lossless,16,17,0.4792,0.545,0.0056,0.3792,0.6208,1,0.0,0.0
1,lossless,17,18,0.4625,0.476,0.0,0.3625,0.6375,1,0.0,0.0
1,lossless,18,19,0.448,0.4952,0.0,0.348,0.652,1,0.0,0.0
1,lossless,19,20,0.462,0.5024,0.0,0.362,0.638,1,0.0,0.0
1,lossless,20,24,0.5409,0.3298,0.0,0.4409,0.5591,1,0.0,0.0
1,lossless,21,22,0.4599,0.4533,0.0208,0.3599,0.6401,1,0.0,0.0
1,lossless,22,23,0.4795,0.5116,0.0,0.3795,0.6205,1,0.0,0.0
1,lossless,23,24,0.4759,0.5182,0.0,0.3759,0.6241,1,0.0,0.0
1,lossless,24,25,0.4795,0.5146,0.0429,0.3795,0.6205,1,0.0,0.0
1,lossless,25,20,0.5823,0.4944,0.0526,0.3823,0.6177,2,0.0,0.0
2,lossless,2,1,0.4113,0.5012,0.0,0.3113,0.6887,1,0.0,0.0
2,lossless,3,4,0.4814,0.4906,0.0,0.3814,0.6186,1,0.0,0.0
2,lossless,4,5,0.462,0.507,0.0,0.362,0.638,1,0.0,0.0
